,user,text,favorite_count,retweet_count,created_at
32,narendramodi,"The iconic ‘Statue of Unity’ is the ideal place to launch Mission LiFE, an endeavour aimed at building synergy for a sustainable planet. https://t.co/BBSQVkzzEA",7757,3064,2022-10-20 09:07:26+00:00
33,narendramodi,Mission LiFE is a global movement to safeguard our environment from impact of climate change. https://t.co/aW6Vr556TA,11487,3994,2022-10-20 06:23:56+00:00
34,narendramodi,Glimpses from Rajkot…unimaginable enthusiasm! https://t.co/t71KoYau6b,27018,5599,2022-10-19 16:05:07+00:00
35,narendramodi,કચ્છ-કાઠિયાવાડ રાષ્ટ્રભક્તોની ધરતી છે. તેઓ કેટલાક લોકોની ગુજરાત વિરોધી માનસિકતાને ક્યારેય માફ કરશે નહી. https://t.co/qEzf3Yo0UD,7698,3147,2022-10-19 14:50:23+00:00
36,narendramodi,"આજે ગુજરાતનો વિકાસ દરેક ક્ષેત્રમાં તેજ ગતિથી વધી રહ્યો છે પણ જુના દિવસો યાદ કરો શું પરિસ્થિતી હતી….

 પાછલા 20 વર્ષમાં ઉત્તમ કામ થયુ છે જેનાથી લોકોનું જીવનધોરણ બદલાયું છે. https://t.co/3w9zcU9rB8",6684,2939,2022-10-19 14:50:15+00:00
37,narendramodi,मुझे विश्वास है कि 21वीं सदी में Science and Technology से जुड़े अधिकांश Innovation और Invention भारत में ही होंगे। इसमें भी गुजरात के पास बहुत बड़ा अवसर है। https://t.co/AHO9GcaGSy,9379,3826,2022-10-19 14:49:49+00:00
38,narendramodi,"बीते दो दशकों में गुजरात में शिक्षा के क्षेत्र में जो परिवर्तन आया है, वो अभूतपूर्व है। इस दौरान राज्य के लोगों ने शिक्षा-व्यवस्था का कायाकल्प करके दिखाया है। https://t.co/CSJdo0TVF8",8320,3555,2022-10-19 14:49:36+00:00
39,narendramodi,Some glimpses from the memorable interaction with our youth while launching the Mission Schools of Excellence. https://t.co/92p8ICcvNb,25033,5397,2022-10-19 14:49:13+00:00
40,narendramodi,Today is a landmark day for the education sector. The Mission Schools of Excellence will have a transformative impact in the lives of our Yuva Shakti. https://t.co/HjbdSnsqcu,10838,4086,2022-10-19 14:45:58+00:00
41,narendramodi,Great to be in the vibrant city of Rajkot! Addressing a programme at launch of various projects. https://t.co/QuTNcm8XWZ,10344,3800,2022-10-19 13:43:47+00:00
